instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_name,weekday_name,is_weekend,hour_group,weather_name
2504,2011-04-19,2,0,4,5,0,2,2,0.46,0.4545,0.72,0.194,1,17,18,Spring,Tuesday,0,Night,Mist
2505,2011-04-19,2,0,4,6,0,2,2,0.48,0.4697,0.67,0.0,2,63,65,Spring,Tuesday,0,Morning,Mist
2506,2011-04-19,2,0,4,7,0,2,2,0.52,0.5,0.55,0.0,22,166,188,Spring,Tuesday,0,Morning,Mist
2507,2011-04-19,2,0,4,8,0,2,2,0.5,0.4848,0.68,0.1343,20,331,351,Spring,Tuesday,0,Morning,Mist
2508,2011-04-19,2,0,4,9,0,2,3,0.52,0.5,0.63,0.0896,23,139,162,Spring,Tuesday,0,Morning,Light Snow/Rain
2509,2011-04-19,2,0,4,10,0,2,2,0.5,0.4848,0.72,0.2239,15,60,75,Spring,Tuesday,0,Morning,Mist
2510,2011-04-19,2,0,4,11,0,2,2,0.54,0.5152,0.68,0.1642,19,53,72,Spring,Tuesday,0,Morning,Mist
2511,2011-04-19,2,0,4,12,0,2,2,0.54,0.5152,0.64,0.0896,19,84,103,Spring,Tuesday,0,Afternoon,Mist
2512,2011-04-19,2,0,4,13,0,2,2,0.54,0.5152,0.68,0.2239,26,103,129,Spring,Tuesday,0,Afternoon,Mist
2513,2011-04-19,2,0,4,14,0,2,2,0.54,0.5152,0.64,0.194,19,88,107,Spring,Tuesday,0,Afternoon,Mist
2514,2011-04-19,2,0,4,15,0,2,2,0.54,0.5152,0.65,0.1642,44,83,127,Spring,Tuesday,0,Afternoon,Mist
2515,2011-04-19,2,0,4,16,0,2,1,0.56,0.5303,0.52,0.2985,30,162,192,Spring,Tuesday,0,Afternoon,Clear
2516,2011-04-19,2,0,4,17,0,2,1,0.56,0.5303,0.6,0.1045,39,372,411,Spring,Tuesday,0,Afternoon,Clear
2517,2011-04-19,2,0,4,18,0,2,2,0.54,0.5152,0.64,0.1343,44,377,421,Spring,Tuesday,0,Evening,Mist
2518,2011-04-19,2,0,4,19,0,2,2,0.5,0.4848,0.72,0.194,28,248,276,Spring,Tuesday,0,Evening,Mist
2519,2011-04-19,2,0,4,20,0,2,2,0.5,0.4848,0.72,0.2239,20,148,168,Spring,Tuesday,0,Evening,Mist
2520,2011-04-19,2,0,4,21,0,2,2,0.5,0.4848,0.72,0.1343,8,114,122,Spring,Tuesday,0,Evening,Mist
2521,2011-04-19,2,0,4,22,0,2,1,0.48,0.4697,0.77,0.0896,3,109,112,Spring,Tuesday,0,Evening,Clear
2522,2011-04-19,2,0,4,23,0,2,1,0.46,0.4545,0.88,0.0896,11,41,52,Spring,Tuesday,0,Evening,Clear
2523,2011-04-20,2,0,4,0,0,3,1,0.44,0.4394,0.88,0.1343,4,29,33,Spring,Wednesday,0,Night,Clear
2524,2011-04-20,2,0,4,1,0,3,1,0.42,0.4242,0.94,0.1642,2,5,7,Spring,Wednesday,0,Night,Clear
2525,2011-04-20,2,0,4,2,0,3,1,0.42,0.4242,0.94,0.1642,0,2,2,Spring,Wednesday,0,Night,Clear
2526,2011-04-20,2,0,4,3,0,3,1,0.42,0.4242,0.94,0.0,0,2,2,Spring,Wednesday,0,Night,Clear
2527,2011-04-20,2,0,4,4,0,3,1,0.4,0.4091,1.0,0.1045,5,4,9,Spring,Wednesday,0,Night,Clear
2528,2011-04-20,2,0,4,5,0,3,1,0.4,0.4091,0.94,0.194,1,14,15,Spring,Wednesday,0,Night,Clear
2529,2011-04-20,2,0,4,6,0,3,1,0.42,0.4242,0.94,0.1642,2,62,64,Spring,Wednesday,0,Morning,Clear
2530,2011-04-20,2,0,4,7,0,3,1,0.44,0.4394,0.94,0.0,26,211,237,Spring,Wednesday,0,Morning,Clear
2531,2011-04-20,2,0,4,8,0,3,1,0.62,0.6061,0.69,0.4627,22,374,396,Spring,Wednesday,0,Morning,Clear
2532,2011-04-20,2,0,4,9,0,3,1,0.66,0.6212,0.61,0.2836,27,170,197,Spring,Wednesday,0,Morning,Clear
2533,2011-04-20,2,0,4,10,0,3,1,0.62,0.6061,0.69,0.0896,45,86,131,Spring,Wednesday,0,Morning,Clear
2534,2011-04-20,2,0,4,11,0,3,1,0.62,0.6061,0.69,0.0896,31,87,118,Spring,Wednesday,0,Morning,Clear
2535,2011-04-20,2,0,4,12,0,3,1,0.7,0.6515,0.48,0.3881,28,117,145,Spring,Wednesday,0,Afternoon,Clear
2536,2011-04-20,2,0,4,13,0,3,1,0.7,0.6515,0.48,0.3881,42,135,177,Spring,Wednesday,0,Afternoon,Clear
2537,2011-04-20,2,0,4,14,0,3,1,0.74,0.6515,0.4,0.4627,33,115,148,Spring,Wednesday,0,Afternoon,Clear
2538,2011-04-20,2,0,4,15,0,3,2,0.76,0.6667,0.35,0.3582,32,113,145,Spring,Wednesday,0,Afternoon,Mist
2539,2011-04-20,2,0,4,16,0,3,2,0.76,0.6667,0.35,0.3582,54,201,255,Spring,Wednesday,0,Afternoon,Mist
2540,2011-04-20,2,0,4,17,0,3,2,0.74,0.6515,0.37,0.4179,34,398,432,Spring,Wednesday,0,Afternoon,Mist
2541,2011-04-20,2,0,4,18,0,3,1,0.74,0.6515,0.3,0.3582,56,385,441,Spring,Wednesday,0,Evening,Clear
2542,2011-04-20,2,0,4,19,0,3,1,0.7,0.6364,0.32,0.2537,74,309,383,Spring,Wednesday,0,Evening,Clear
2543,2011-04-20,2,0,4,20,0,3,1,0.68,0.6212,0.32,0.1045,31,194,225,Spring,Wednesday,0,Evening,Clear
2544,2011-04-20,2,0,4,21,0,3,1,0.66,0.6212,0.36,0.2836,38,134,172,Spring,Wednesday,0,Evening,Clear
2545,2011-04-20,2,0,4,22,0,3,1,0.62,0.6212,0.41,0.2537,12,105,117,Spring,Wednesday,0,Evening,Clear
2546,2011-04-20,2,0,4,23,0,3,1,0.6,0.6212,0.4,0.3284,14,79,93,Spring,Wednesday,0,Evening,Clear
2547,2011-04-21,2,0,4,0,0,4,1,0.56,0.5303,0.43,0.3582,11,33,44,Spring,Thursday,0,Night,Clear
2548,2011-04-21,2,0,4,1,0,4,1,0.52,0.5,0.45,0.2239,6,20,26,Spring,Thursday,0,Night,Clear
2549,2011-04-21,2,0,4,2,0,4,1,0.5,0.4848,0.42,0.3881,3,10,13,Spring,Thursday,0,Night,Clear
2550,2011-04-21,2,0,4,3,0,4,2,0.46,0.4545,0.51,0.4627,4,3,7,Spring,Thursday,0,Night,Mist
2551,2011-04-21,2,0,4,4,0,4,2,0.44,0.4394,0.54,0.4478,2,4,6,Spring,Thursday,0,Night,Mist
2552,2011-04-21,2,0,4,5,0,4,2,0.42,0.4242,0.54,0.5522,0,14,14,Spring,Thursday,0,Night,Mist
2553,2011-04-21,2,0,4,6,0,4,2,0.4,0.4091,0.58,0.5821,2,73,75,Spring,Thursday,0,Morning,Mist
2554,2011-04-21,2,0,4,7,0,4,2,0.42,0.4242,0.47,0.4627,15,183,198,Spring,Thursday,0,Morning,Mist
2555,2011-04-21,2,0,4,8,0,4,2,0.4,0.4091,0.5,0.4925,19,346,365,Spring,Thursday,0,Morning,Mist
2556,2011-04-21,2,0,4,9,0,4,2,0.42,0.4242,0.47,0.2836,18,178,196,Spring,Thursday,0,Morning,Mist
2557,2011-04-21,2,0,4,10,0,4,1,0.42,0.4242,0.44,0.3582,25,73,98,Spring,Thursday,0,Morning,Clear
2558,2011-04-21,2,0,4,11,0,4,1,0.44,0.4394,0.41,0.2836,34,99,133,Spring,Thursday,0,Morning,Clear
2559,2011-04-21,2,0,4,12,0,4,1,0.46,0.4545,0.38,0.1642,49,150,199,Spring,Thursday,0,Afternoon,Clear
2560,2011-04-21,2,0,4,13,0,4,1,0.48,0.4697,0.33,0.3284,55,122,177,Spring,Thursday,0,Afternoon,Clear
2561,2011-04-21,2,0,4,14,0,4,1,0.5,0.4848,0.34,0.3881,68,160,228,Spring,Thursday,0,Afternoon,Clear
2562,2011-04-21,2,0,4,15,0,4,1,0.52,0.5,0.29,0.4179,69,166,235,Spring,Thursday,0,Afternoon,Clear
2563,2011-04-21,2,0,4,16,0,4,1,0.52,0.5,0.27,0.3582,66,228,294,Spring,Thursday,0,Afternoon,Clear
2564,2011-04-21,2,0,4,17,0,4,1,0.5,0.4848,0.29,0.1642,79,402,481,Spring,Thursday,0,Afternoon,Clear
2565,2011-04-21,2,0,4,18,0,4,1,0.5,0.4848,0.25,0.2836,71,381,452,Spring,Thursday,0,Evening,Clear
2566,2011-04-21,2,0,4,19,0,4,1,0.46,0.4545,0.28,0.2836,52,272,324,Spring,Thursday,0,Evening,Clear
2567,2011-04-21,2,0,4,20,0,4,1,0.44,0.4394,0.3,0.1343,28,176,204,Spring,Thursday,0,Evening,Clear
2568,2011-04-21,2,0,4,21,0,4,1,0.42,0.4242,0.47,0.194,25,159,184,Spring,Thursday,0,Evening,Clear
2569,2011-04-21,2,0,4,22,0,4,1,0.42,0.4242,0.38,0.0896,31,106,137,Spring,Thursday,0,Evening,Clear
2570,2011-04-21,2,0,4,23,0,4,1,0.4,0.4091,0.43,0.1045,13,86,99,Spring,Thursday,0,Evening,Clear
2571,2011-04-22,2,0,4,0,0,5,1,0.36,0.3485,0.62,0.194,3,30,33,Spring,Friday,0,Night,Clear
2572,2011-04-22,2,0,4,1,0,5,1,0.36,0.3333,0.53,0.2537,2,22,24,Spring,Friday,0,Night,Clear
2573,2011-04-22,2,0,4,2,0,5,1,0.36,0.3333,0.53,0.2985,2,7,9,Spring,Friday,0,Night,Clear
2574,2011-04-22,2,0,4,3,0,5,1,0.36,0.3333,0.53,0.2985,0,2,2,Spring,Friday,0,Night,Clear
2575,2011-04-22,2,0,4,4,0,5,1,0.34,0.3182,0.53,0.2836,1,2,3,Spring,Friday,0,Night,Clear
2576,2011-04-22,2,0,4,5,0,5,1,0.34,0.3182,0.53,0.2239,0,16,16,Spring,Friday,0,Night,Clear
2577,2011-04-22,2,0,4,6,0,5,1,0.34,0.3182,0.53,0.2836,2,47,49,Spring,Friday,0,Morning,Clear
2578,2011-04-22,2,0,4,7,0,5,2,0.34,0.3182,0.53,0.2836,5,175,180,Spring,Friday,0,Morning,Mist
2579,2011-04-22,2,0,4,8,0,5,2,0.34,0.3182,0.53,0.2537,15,331,346,Spring,Friday,0,Morning,Mist
2580,2011-04-22,2,0,4,9,0,5,3,0.34,0.303,0.61,0.2985,17,178,195,Spring,Friday,0,Morning,Light Snow/Rain
2581,2011-04-22,2,0,4,10,0,5,2,0.36,0.3485,0.62,0.194,32,104,136,Spring,Friday,0,Morning,Mist
2582,2011-04-22,2,0,4,11,0,5,3,0.34,0.3333,0.66,0.194,23,83,106,Spring,Friday,0,Morning,Light Snow/Rain
2583,2011-04-22,2,0,4,12,0,5,3,0.34,0.3333,0.76,0.1343,19,61,80,Spring,Friday,0,Afternoon,Light Snow/Rain
2584,2011-04-22,2,0,4,13,0,5,3,0.34,0.3333,0.87,0.194,3,37,40,Spring,Friday,0,Afternoon,Light Snow/Rain
2585,2011-04-22,2,0,4,14,0,5,3,0.34,0.3182,0.87,0.2537,3,33,36,Spring,Friday,0,Afternoon,Light Snow/Rain
2586,2011-04-22,2,0,4,15,0,5,3,0.34,0.3333,0.87,0.194,13,62,75,Spring,Friday,0,Afternoon,Light Snow/Rain
2587,2011-04-22,2,0,4,16,0,5,3,0.34,0.3333,0.87,0.1343,4,58,62,Spring,Friday,0,Afternoon,Light Snow/Rain
2588,2011-04-22,2,0,4,17,0,5,3,0.32,0.303,0.93,0.2239,6,63,69,Spring,Friday,0,Afternoon,Light Snow/Rain
2589,2011-04-22,2,0,4,18,0,5,3,0.32,0.303,0.93,0.2239,4,47,51,Spring,Friday,0,Evening,Light Snow/Rain
2590,2011-04-22,2,0,4,19,0,5,3,0.32,0.303,0.93,0.2239,7,48,55,Spring,Friday,0,Evening,Light Snow/Rain
2591,2011-04-22,2,0,4,20,0,5,3,0.32,0.303,0.87,0.2239,8,39,47,Spring,Friday,0,Evening,Light Snow/Rain
2592,2011-04-22,2,0,4,21,0,5,3,0.3,0.303,0.93,0.1642,5,23,28,Spring,Friday,0,Evening,Light Snow/Rain
2593,2011-04-22,2,0,4,22,0,5,3,0.3,0.303,1.0,0.1343,3,21,24,Spring,Friday,0,Evening,Light Snow/Rain
2594,2011-04-22,2,0,4,23,0,5,3,0.32,0.3333,0.93,0.1045,0,17,17,Spring,Friday,0,Evening,Light Snow/Rain
2595,2011-04-23,2,0,4,0,0,6,2,0.32,0.3182,1.0,0.194,0,18,18,Spring,Saturday,1,Night,Mist
2596,2011-04-23,2,0,4,1,0,6,2,0.32,0.3182,1.0,0.194,5,11,16,Spring,Saturday,1,Night,Mist
2597,2011-04-23,2,0,4,2,0,6,3,0.32,0.3333,1.0,0.1343,3,14,17,Spring,Saturday,1,Night,Light Snow/Rain
2598,2011-04-23,2,0,4,3,0,6,3,0.32,0.3333,1.0,0.0896,0,4,4,Spring,Saturday,1,Night,Light Snow/Rain
2599,2011-04-23,2,0,4,4,0,6,3,0.34,0.3636,1.0,0.0,2,3,5,Spring,Saturday,1,Night,Light Snow/Rain
2600,2011-04-23,2,0,4,5,0,6,3,0.34,0.3636,1.0,0.0,1,6,7,Spring,Saturday,1,Night,Light Snow/Rain
2601,2011-04-23,2,0,4,6,0,6,2,0.34,0.3333,1.0,0.1642,0,11,11,Spring,Saturday,1,Morning,Mist
2602,2011-04-23,2,0,4,7,0,6,3,0.34,0.3333,1.0,0.1642,2,17,19,Spring,Saturday,1,Morning,Light Snow/Rain
2603,2011-04-23,2,0,4,8,0,6,2,0.36,0.3333,1.0,0.2537,15,32,47,Spring,Saturday,1,Morning,Mist
2604,2011-04-23,2,0,4,9,0,6,2,0.38,0.3939,0.94,0.2985,13,55,68,Spring,Saturday,1,Morning,Mist
2605,2011-04-23,2,0,4,10,0,6,2,0.42,0.4242,0.88,0.2239,36,93,129,Spring,Saturday,1,Morning,Mist
2606,2011-04-23,2,0,4,11,0,6,2,0.46,0.4545,0.88,0.2239,68,164,232,Spring,Saturday,1,Morning,Mist
2607,2011-04-23,2,0,4,12,0,6,1,0.52,0.5,0.83,0.4179,94,197,291,Spring,Saturday,1,Afternoon,Clear
2608,2011-04-23,2,0,4,13,0,6,1,0.52,0.5,0.83,0.3881,126,186,312,Spring,Saturday,1,Afternoon,Clear
2609,2011-04-23,2,0,4,14,0,6,1,0.58,0.5455,0.78,0.3582,182,209,391,Spring,Saturday,1,Afternoon,Clear
2610,2011-04-23,2,0,4,15,0,6,1,0.6,0.5909,0.73,0.3881,171,226,397,Spring,Saturday,1,Afternoon,Clear
2611,2011-04-23,2,0,4,16,0,6,1,0.6,0.5909,0.73,0.2836,180,246,426,Spring,Saturday,1,Afternoon,Clear
2612,2011-04-23,2,0,4,17,0,6,1,0.6,0.5909,0.73,0.3284,168,215,383,Spring,Saturday,1,Afternoon,Clear
2613,2011-04-23,2,0,4,18,0,6,1,0.58,0.5455,0.78,0.194,149,227,376,Spring,Saturday,1,Evening,Clear
2614,2011-04-23,2,0,4,19,0,6,1,0.56,0.5303,0.83,0.2836,84,199,283,Spring,Saturday,1,Evening,Clear
2615,2011-04-23,2,0,4,20,0,6,2,0.54,0.5152,0.88,0.2537,45,138,183,Spring,Saturday,1,Evening,Mist
2616,2011-04-23,2,0,4,21,0,6,2,0.56,0.5303,0.83,0.2836,32,103,135,Spring,Saturday,1,Evening,Mist
2617,2011-04-23,2,0,4,22,0,6,2,0.58,0.5455,0.78,0.2537,55,114,169,Spring,Saturday,1,Evening,Mist
2618,2011-04-23,2,0,4,23,0,6,2,0.54,0.5152,0.88,0.1642,31,86,117,Spring,Saturday,1,Evening,Mist
2619,2011-04-24,2,0,4,0,0,0,1,0.52,0.5,0.83,0.2239,30,66,96,Spring,Sunday,1,Night,Clear
2620,2011-04-24,2,0,4,1,0,0,1,0.5,0.4848,0.88,0.194,14,40,54,Spring,Sunday,1,Night,Clear
2621,2011-04-24,2,0,4,2,0,0,1,0.5,0.4848,0.88,0.194,27,45,72,Spring,Sunday,1,Night,Clear
2622,2011-04-24,2,0,4,3,0,0,1,0.5,0.4848,0.94,0.0896,4,20,24,Spring,Sunday,1,Night,Clear
2623,2011-04-24,2,0,4,4,0,0,1,0.5,0.4848,0.94,0.0896,0,5,5,Spring,Sunday,1,Night,Clear
2624,2011-04-24,2,0,4,5,0,0,1,0.5,0.4848,0.94,0.0896,5,7,12,Spring,Sunday,1,Night,Clear
2625,2011-04-24,2,0,4,6,0,0,2,0.5,0.4848,1.0,0.0,10,3,13,Spring,Sunday,1,Morning,Mist
2626,2011-04-24,2,0,4,7,0,0,2,0.5,0.4848,1.0,0.0,16,11,27,Spring,Sunday,1,Morning,Mist
2627,2011-04-24,2,0,4,8,0,0,1,0.52,0.5,0.94,0.2239,38,42,80,Spring,Sunday,1,Morning,Clear
2628,2011-04-24,2,0,4,9,0,0,1,0.56,0.5303,0.88,0.2537,73,104,177,Spring,Sunday,1,Morning,Clear
2629,2011-04-24,2,0,4,10,0,0,1,0.6,0.5758,0.78,0.1642,118,171,289,Spring,Sunday,1,Morning,Clear
2630,2011-04-24,2,0,4,11,0,0,1,0.66,0.6212,0.65,0.1343,124,193,317,Spring,Sunday,1,Morning,Clear
2631,2011-04-24,2,0,4,12,0,0,1,0.68,0.6364,0.65,0.2537,168,220,388,Spring,Sunday,1,Afternoon,Clear
2632,2011-04-24,2,0,4,13,0,0,1,0.7,0.6515,0.58,0.2836,205,236,441,Spring,Sunday,1,Afternoon,Clear
2633,2011-04-24,2,0,4,14,0,0,1,0.7,0.6515,0.54,0.3284,197,223,420,Spring,Sunday,1,Afternoon,Clear
2634,2011-04-24,2,0,4,15,0,0,1,0.66,0.6212,0.61,0.2537,167,202,369,Spring,Sunday,1,Afternoon,Clear
2635,2011-04-24,2,0,4,16,0,0,1,0.74,0.6667,0.48,0.3881,162,197,359,Spring,Sunday,1,Afternoon,Clear
2636,2011-04-24,2,0,4,17,0,0,1,0.66,0.6212,0.65,0.2985,142,189,331,Spring,Sunday,1,Afternoon,Clear
2637,2011-04-24,2,0,4,18,0,0,1,0.64,0.6061,0.69,0.1642,96,174,270,Spring,Sunday,1,Evening,Clear
2638,2011-04-24,2,0,4,19,0,0,3,0.6,0.5606,0.83,0.2836,62,132,194,Spring,Sunday,1,Evening,Light Snow/Rain
2639,2011-04-24,2,0,4,20,0,0,3,0.6,0.5606,0.83,0.2836,34,71,105,Spring,Sunday,1,Evening,Light Snow/Rain
2640,2011-04-24,2,0,4,21,0,0,3,0.54,0.5152,0.94,0.1642,8,53,61,Spring,Sunday,1,Evening,Light Snow/Rain
2641,2011-04-24,2,0,4,22,0,0,3,0.54,0.5152,1.0,0.1642,5,40,45,Spring,Sunday,1,Evening,Light Snow/Rain
2642,2011-04-24,2,0,4,23,0,0,3,0.54,0.5152,1.0,0.0896,5,37,42,Spring,Sunday,1,Evening,Light Snow/Rain
2643,2011-04-25,2,0,4,0,0,1,3,0.52,0.5,1.0,0.0,2,10,12,Spring,Monday,0,Night,Light Snow/Rain
2644,2011-04-25,2,0,4,1,0,1,1,0.54,0.5152,1.0,0.0896,2,8,10,Spring,Monday,0,Night,Clear
2645,2011-04-25,2,0,4,2,0,1,1,0.54,0.5152,1.0,0.0896,1,9,10,Spring,Monday,0,Night,Clear
2646,2011-04-25,2,0,4,3,0,1,2,0.5,0.4848,1.0,0.1045,2,8,10,Spring,Monday,0,Night,Mist
2647,2011-04-25,2,0,4,4,0,1,2,0.52,0.5,1.0,0.0,1,4,5,Spring,Monday,0,Night,Mist
2648,2011-04-25,2,0,4,5,0,1,2,0.46,0.4545,1.0,0.0,3,14,17,Spring,Monday,0,Night,Mist
2649,2011-04-25,2,0,4,6,0,1,2,0.5,0.4848,1.0,0.0,7,59,66,Spring,Monday,0,Morning,Mist
2650,2011-04-25,2,0,4,7,0,1,2,0.52,0.5,1.0,0.0896,13,183,196,Spring,Monday,0,Morning,Mist
2651,2011-04-25,2,0,4,8,0,1,1,0.56,0.5303,0.88,0.1045,27,326,353,Spring,Monday,0,Morning,Clear
2652,2011-04-25,2,0,4,9,0,1,1,0.6,0.5606,0.83,0.1343,27,147,174,Spring,Monday,0,Morning,Clear
2653,2011-04-25,2,0,4,10,0,1,1,0.64,0.6061,0.73,0.2239,61,64,125,Spring,Monday,0,Morning,Clear
2654,2011-04-25,2,0,4,11,0,1,1,0.64,0.6061,0.73,0.2239,53,94,147,Spring,Monday,0,Morning,Clear
2655,2011-04-25,2,0,4,12,0,1,1,0.66,0.6212,0.74,0.2537,48,140,188,Spring,Monday,0,Afternoon,Clear
2656,2011-04-25,2,0,4,13,0,1,1,0.7,0.6515,0.65,0.2239,57,146,203,Spring,Monday,0,Afternoon,Clear
2657,2011-04-25,2,0,4,14,0,1,1,0.72,0.6667,0.54,0.2239,47,99,146,Spring,Monday,0,Afternoon,Clear
2658,2011-04-25,2,0,4,15,0,1,1,0.74,0.6667,0.51,0.2239,50,125,175,Spring,Monday,0,Afternoon,Clear
2659,2011-04-25,2,0,4,16,0,1,1,0.7,0.6515,0.54,0.3582,41,198,239,Spring,Monday,0,Afternoon,Clear
2660,2011-04-25,2,0,4,17,0,1,1,0.7,0.6515,0.54,0.2985,80,441,521,Spring,Monday,0,Afternoon,Clear
2661,2011-04-25,2,0,4,18,0,1,1,0.68,0.6364,0.57,0.3582,74,425,499,Spring,Monday,0,Evening,Clear
2662,2011-04-25,2,0,4,19,0,1,1,0.66,0.6212,0.57,0.3284,62,320,382,Spring,Monday,0,Evening,Clear
2663,2011-04-25,2,0,4,20,0,1,1,0.66,0.6212,0.61,0.2836,42,195,237,Spring,Monday,0,Evening,Clear
2664,2011-04-25,2,0,4,21,0,1,1,0.62,0.6061,0.69,0.2537,41,149,190,Spring,Monday,0,Evening,Clear
2665,2011-04-25,2,0,4,22,0,1,1,0.6,0.5909,0.73,0.2985,23,83,106,Spring,Monday,0,Evening,Clear
2666,2011-04-25,2,0,4,23,0,1,1,0.58,0.5455,0.78,0.2836,9,53,62,Spring,Monday,0,Evening,Clear
2667,2011-04-26,2,0,4,0,0,2,1,0.62,0.6061,0.69,0.2836,10,17,27,Spring,Tuesday,0,Night,Clear
2668,2011-04-26,2,0,4,1,0,2,1,0.62,0.5909,0.73,0.2836,16,5,21,Spring,Tuesday,0,Night,Clear
2669,2011-04-26,2,0,4,2,0,2,1,0.56,0.5303,0.83,0.3284,17,9,26,Spring,Tuesday,0,Night,Clear
2670,2011-04-26,2,0,4,3,0,2,1,0.54,0.5152,0.88,0.2836,17,4,21,Spring,Tuesday,0,Night,Clear
2671,2011-04-26,2,0,4,4,0,2,1,0.56,0.5303,0.83,0.2537,2,4,6,Spring,Tuesday,0,Night,Clear
2672,2011-04-26,2,0,4,5,0,2,1,0.54,0.5152,0.88,0.2537,0,16,16,Spring,Tuesday,0,Night,Clear
2673,2011-04-26,2,0,4,6,0,2,1,0.56,0.5303,0.88,0.2239,0,80,80,Spring,Tuesday,0,Morning,Clear
2674,2011-04-26,2,0,4,7,0,2,1,0.58,0.5455,0.83,0.2985,16,254,270,Spring,Tuesday,0,Morning,Clear
2675,2011-04-26,2,0,4,8,0,2,1,0.58,0.5455,0.83,0.2985,32,417,449,Spring,Tuesday,0,Morning,Clear
2676,2011-04-26,2,0,4,9,0,2,1,0.64,0.6061,0.73,0.3582,35,164,199,Spring,Tuesday,0,Morning,Clear
2677,2011-04-26,2,0,4,10,0,2,1,0.66,0.6212,0.69,0.3582,22,98,120,Spring,Tuesday,0,Morning,Clear
2678,2011-04-26,2,0,4,11,0,2,1,0.68,0.6364,0.65,0.3881,40,132,172,Spring,Tuesday,0,Morning,Clear
2679,2011-04-26,2,0,4,12,0,2,1,0.7,0.6515,0.61,0.4179,40,146,186,Spring,Tuesday,0,Afternoon,Clear
2680,2011-04-26,2,0,4,13,0,2,1,0.74,0.6667,0.51,0.4478,37,139,176,Spring,Tuesday,0,Afternoon,Clear
2681,2011-04-26,2,0,4,14,0,2,1,0.72,0.6667,0.58,0.3284,40,115,155,Spring,Tuesday,0,Afternoon,Clear
2682,2011-04-26,2,0,4,15,0,2,1,0.7,0.6515,0.61,0.3582,34,119,153,Spring,Tuesday,0,Afternoon,Clear
2683,2011-04-26,2,0,4,16,0,2,1,0.7,0.6515,0.58,0.3881,40,251,291,Spring,Tuesday,0,Afternoon,Clear
2684,2011-04-26,2,0,4,17,0,2,1,0.68,0.6364,0.61,0.3582,66,455,521,Spring,Tuesday,0,Afternoon,Clear
2685,2011-04-26,2,0,4,18,0,2,1,0.68,0.6364,0.65,0.4478,65,463,528,Spring,Tuesday,0,Evening,Clear
2686,2011-04-26,2,0,4,19,0,2,1,0.64,0.6061,0.73,0.4179,42,286,328,Spring,Tuesday,0,Evening,Clear
2687,2011-04-26,2,0,4,20,0,2,1,0.64,0.6061,0.73,0.3582,35,199,234,Spring,Tuesday,0,Evening,Clear
2688,2011-04-26,2,0,4,21,0,2,1,0.62,0.5909,0.78,0.2836,33,162,195,Spring,Tuesday,0,Evening,Clear
2689,2011-04-26,2,0,4,22,0,2,2,0.6,0.5606,0.83,0.194,32,116,148,Spring,Tuesday,0,Evening,Mist
2690,2011-04-26,2,0,4,23,0,2,2,0.6,0.5606,0.83,0.2239,7,71,78,Spring,Tuesday,0,Evening,Mist
2691,2011-04-27,2,0,4,0,0,3,1,0.6,0.5606,0.83,0.2239,3,24,27,Spring,Wednesday,0,Night,Clear
2692,2011-04-27,2,0,4,1,0,3,1,0.6,0.5606,0.83,0.2537,2,15,17,Spring,Wednesday,0,Night,Clear
2693,2011-04-27,2,0,4,2,0,3,1,0.58,0.5455,0.88,0.2537,0,5,5,Spring,Wednesday,0,Night,Clear
2694,2011-04-27,2,0,4,3,0,3,2,0.58,0.5455,0.88,0.2836,3,4,7,Spring,Wednesday,0,Night,Mist
2695,2011-04-27,2,0,4,4,0,3,1,0.56,0.5303,0.94,0.2239,0,6,6,Spring,Wednesday,0,Night,Clear
2696,2011-04-27,2,0,4,5,0,3,2,0.56,0.5303,0.94,0.2537,1,16,17,Spring,Wednesday,0,Night,Mist
2697,2011-04-27,2,0,4,6,0,3,1,0.56,0.5303,0.94,0.2537,5,79,84,Spring,Wednesday,0,Morning,Clear
2698,2011-04-27,2,0,4,7,0,3,2,0.58,0.5455,0.88,0.2836,17,229,246,Spring,Wednesday,0,Morning,Mist
2699,2011-04-27,2,0,4,8,0,3,2,0.58,0.5455,0.88,0.3284,31,413,444,Spring,Wednesday,0,Morning,Mist
2700,2011-04-27,2,0,4,9,0,3,2,0.6,0.5455,0.88,0.4179,20,161,181,Spring,Wednesday,0,Morning,Mist
2701,2011-04-27,2,0,4,10,0,3,2,0.62,0.5758,0.83,0.2836,26,66,92,Spring,Wednesday,0,Morning,Mist
2702,2011-04-27,2,0,4,11,0,3,2,0.64,0.5909,0.78,0.2836,53,103,156,Spring,Wednesday,0,Morning,Mist
2703,2011-04-27,2,0,4,12,0,3,1,0.66,0.6061,0.78,0.3284,38,135,173,Spring,Wednesday,0,Afternoon,Clear
2704,2011-04-27,2,0,4,13,0,3,1,0.64,0.5909,0.78,0.2985,31,119,150,Spring,Wednesday,0,Afternoon,Clear
2705,2011-04-27,2,0,4,14,0,3,1,0.68,0.6364,0.74,0.2836,29,119,148,Spring,Wednesday,0,Afternoon,Clear
2706,2011-04-27,2,0,4,15,0,3,1,0.7,0.6515,0.65,0.4925,18,120,138,Spring,Wednesday,0,Afternoon,Clear
2707,2011-04-27,2,0,4,16,0,3,1,0.7,0.6515,0.7,0.3881,29,189,218,Spring,Wednesday,0,Afternoon,Clear
